id,text,cat_val
317,"@AGENTW15 @JustinTrudeau @chrissaccoccia1 And now that Gares tedx Event 201 has been put in global action with G20 leaders bought and paid for and totally on board with this depopulation vaccine agenda,i can see a global revolt within the year",G
318,"@WatsonLadd No, it isn’t. Because there was capacity elsewhere for that phase of the production pipeline.  And, uh, 15M unvaccinated != 15M future COVID deaths.",R
319,@FAIRImmigration @dcexaminer @SecretsBedard Sounds like a good plan to let unvaccinated people into our country after all the work to vaccinate and control the virus. It makes you wonder why JoeBama is not scared of the virus?,G
320,you seem to be the only republican in DC that is actually doing anything other than complaining on fauxnews...glad to see there is one congress person who is actually concerned about the communism that is overtaking America https://t.co/8J0IUIraHq,G
321,1936 Germany. https://t.co/5e87imJfYL,G
322,It’s ‘entirely possible’ vaccine campaigns ‘will be used for massive-scale depopulation’: Former Pfizer VP  https://t.co/chsmQuMtsB,G
323,"A former Vice President and Chief Science Officer for Pfizer, Dr. Michael Yeadon, spoke warning that the drive to inject the largest possible portion of the population with vaccines is “madness,” involves “evil,” includes “crimes against humanity” https://t.co/NJEk1zbTBU https://t.co/Av8i5JTXB2",G
324,"And thus it begins: 
Vaccine ultimata

And the answer is
#ProChoice
#InformedConsent
Not extortion 

https://t.co/KhBzWxOmvP",M
325,Some ppl make me support the depopulation agenda.🥴,G
326,"What arms did the missing 155k vaccines go into, @DonnellyStephen @MichealMartinTD @LeoVaradkar ?
We need answers Now. https://t.co/tsDEiRZeZq",G
327,@ynhhealth The vaccine was created the same time the virus was. This is the global plan for depopulation. How about giving the jab to the top 1% so we can have a future for our kids.,G
328,@Lukewearechange Can us dirty folks (unvaccinated) go to these places? Like is there an other side of the tracks option who didn’t buy a membership for the well hath sarfty sal (that’s a mouthful),M
329,What are these useless bills good for? Rep Greene knows all full well that they are dead on arrival... https://t.co/0rMaWzVleB,G
330,"Notice that so-called ""fact check"" organizations never address #VaccineMisinformation serving to manufacture consent for public vaccine policy. Clearly, they have no problem with misinformation provided that it serves the political agenda.
#InformedConsent
https://t.co/zDZByPovg5",G
331,"@MetaHumean Well, from pure plumbing standpoint, having 4 separate pieces (black/white+vaccinated/unvaccinated combination) might be too burdensome. Unless rolled into infrastructure stimulus of course. Imagine they invent another segregation axis? Stuff gets out of hand exponentially...",G
332,"Former Pfizer VP Sounds Alarm: COVID-19 Vaccine Campaign ""Madness"" That May Be Used For ""Massive-Scale Depopulation"" https://t.co/tRPPKlHVPB via @en_volve",G
333,"@aronpricepga @DeathToaster @sjtrades8 @hannon_bev @erinhaust We are SUPPOSED to die. That is the whole point I believe. DEPOPULATION any way possible. Suicides, undiagnosed cancers, heart dis, strokes, heart attacks-ANYTHING will do

War against the people except our governments never told us WE were the virus they were trying to eradicate",G
334,"tbh... seeing how fucking retarded people are, i'm ok if the vax program is a sterilization or depopulation plan at this point.

too many mouthbreathers taking up my air.",G
335,"ICYMI: #HB2190, which would bar AZ companies from refusing to serve unvaccinated people, is model legislation from an org led by Kris Kobach, architect of Arizona's notorious anti-immigrant #SB1070 law https://t.co/1yccA9fMO2
https://t.co/bN715xsIMs",M
336,"Putin was not vaxxed before cameras to decolonize all of the things, according to Tass. https://t.co/UkRDzkDqV7",G
337,"Former Pfizer VP sounds the alarm on #CCPVirus vaccines. Horrifying. 
Unsurprising, but horrifying, nonetheless... 
https://t.co/ib0fvoyIww",G
338,"So this demands an answer: 

Everywhere #lockdowns are being lifted, why is @fordnation placing #lockdown on top of #lockdown?

LOCKDOWNS DO NOT WORK THEY ONLY HARM AND KILL.

Thank you.

#EndLockdownsNow
#NoSymptomsNoSwab
#InformedConsent
#CrimesAgainstHumanity 
#OnPoli https://t.co/BVDrupufjx",M
339,In 3 years when y’all start seeing side affects keep them “Big Vaxxed” https://t.co/cVYacQSEY4,R
340,"@NoToVaccPass Cashless society, total surveillance, depopulation",G
341,@LindaFrum The Liberals are grasping and trying unsuccessfully to skew the #'s of Cdns vaccinated. Remember most who have been vaxed are only ones that have received one dose and have to wait 4 months for a second. #vaccinefailure @TOAdamVaughan @MarkGerretsen @cathmckenna  #TrudeausDogPack,G
342,Listen to this CDC CCP lunatic. (She used to be President of Planned Parenthood.) Freedom is the carrot to make people vaccinate. The window is narrowing because things are opening up and unvaccinated people will get to enjoy freedom! The horrors! OMG 😱  https://t.co/L2UHVaD4xy,M
343,"@ltgrusselhonore @MSNBC @CNN @FoxNews @NPR THE enemy, at this moment in time is our own government.   Keeping American businesses &amp; citizens in lockdowns while allowing, during the pandemic, thousands of untested,  unvaccinated immigrants from 100s of other countries to just walk into our country amongst us. PITIFUL",G
344,@mstaebryant I'm in! #CourtReform #JudicialReform #FAITH #ChildTraffickers #parentalrights #BucksCounty #montgomeryCounty #DemandChange #legalizedkidnapping #KidsForCash #DISHONORABLES #ParentalAlienation #wedemandbetterforourchildren #philthadelphia #killadelphia #philadelphia #CityOfficials,G
345,@naomirwolf Because lockdowns are being replaced by digital vaccine passports! The unvaccinated will be in lockdown.,M
346,We need to ban vaccines for college students. Nova in Is now requiring the vaccine for the fall semesters what about the rest of the Fl campuses? @GovRonDeSantis  are you going to allow this happen??? This is against our constitutional rights!! https://t.co/wZpPfaye0A,M
347,Going to far now. Your child can’t play with my child cause he hasn’t been vaccinated for a disease that won’t do fuck all to him. Madness what’s going on https://t.co/Xi1HxKoLTN,M
348,Isn't it strange that government is the primary source of misinformation!!   #orpol #orleg  .@OHAOregon .@ORDOJ https://t.co/4ZCBDT8t4i,G
349,I've been saying it for a full year: #FireFauci ❤ https://t.co/2uH2Ixd4H1,G
350,Bombshell – Former Pfizer VP – ‘Entirely Possible This Will Be Used for Massive-Scale Depopulation’ https://t.co/0mcGez8QOg,G
351,"“Depopulation is a major problem that the world in general...[is] failing even to discuss, much less address....Over time, collectively, we are choosing a very different future for humanity.”

This is a question of desire. https://t.co/JHz48XksBo",G
352,"@herrimiento @rthom741 @rtf_media ""There is neither Jew nor Greek, there is neither bond nor free-man, there is neither male nor female...but only vaccinated and unvaccinated.""",M
353,"Bill Gates does NOT care about global health. He’s into eugenics and depopulation. 

BIG difference.",G
354,"If they succeed in the great reset and depopulation agenda, would be just desserts if they screwed up by creating an artificial super intelligence that wipes the globalist elite psychos out",G
355,"#UK regulators find 30 blood clot cases after #AstraZeneca vaccine use
https://t.co/3lI8AggeUI 

#covid19vaccine #vaccineinjuries #notomandatoryvaccines #abolishbigpharma",R
356,"The Coming War Between The Vaxxed and Unvaxxed
https://t.co/PL9sgZKu8U",M
357,You’d think someone in Ontario might make the connection between preventing people from naturally acquiring the virus and the inability to produce herd immunity in a timely fashion. Lockdowns = warehousing COVID for future use on unvaccinated people. https://t.co/gZNlWnN2zD,R
358,Some truth being spoken here. Remember 94% of #COVID19 deaths had 2+ comorbidities and 78% of all #COVID19 hospitalizations were #obese . It is lifestyle choices that are killing you not a virus with a 99.8% survival rate. #COVIDVaccine #Informedconsent  https://t.co/wcAFnY2TGp,M
359,"Former Pfizer VP says experimental Covid-19 vaccines could be ""used for massive-scale depopulation""

⁦⁩ ⁦@jamft⁩ —-makes you wonder.  https://t.co/njBUNIniWT",G
360,@JessicaGuayTV @KDKA The vaccine isn’t a transmission blocking vaccine yet they are promoting groups with no masks please make it make sense. So that vaccinated people can feel like life is back to normal? While spreading possibly un-symptomatic virus to their unvaccinated loved ones? Great call 👎🏻,R
361,Former Pfizer VP says experimental Covid-19 vaccines could be “used for massive-scale depopulation” https://t.co/L1YTlJPSYo,G
362,"@LeynaNguyenTV I'm betting that most reporting problems with Moderno 2nd vax, mostly reported only mild soreness in the arm vaxxed. I'll",R
363,"@CTVNews and Bill Gates buys farmland, becomes to BIGGEST farmland owner in the US... can someone look into Gates' plans to feed America? GMO, impossible burger, depopulation etc... THAT would be good news to dig up.",G
364,@JonahofNinevah The vaxxed will cause a real pandemic,R
365,"I SUPPORT #mybodymychoice &amp; #1A &amp; will use #2A to keep my #1A Rights... #VaccinateTHIS🖕
This is America, you can't FORCE anyone to do anything, even take an Undertested vaccine that the Gov't deems necessary but I think is risky &amp; unsafe for anyone's Health! KMA 🧐 #1A https://t.co/hPJ2sxo7L8",M
366,Yeah I’d like to know the answer to that myself!!! Especially since he’s been talking about depopulation for years!!! https://t.co/5Aej6X066K,G
367,"@SeventhSon6 Nebraska has religious &amp; medical exemptions to vaccines. Thousands of unvaccinated kids graduate from NE schools every year (and always have). Sorry you didn’t know about this. Where there is risk, there must be choice.",M
368,"@SYLTales As I've said before, ""Depopulation"".",G
369,"ASSIMILATION
East Turkestan is trying to be ‘purged’ ethnically/religiously.
The depopulation project is carried out in the camps. The situation with children in kindergartens and schools are no different.
Women have long been subjected to coerced sterilization and birth control. https://t.co/eaHTYqbhhw",G
370,"Q for Qld govt - it says 89% of frontline health workers have had a jab, 41,000.  At any time, the number of covid cases in brisbane hospitals is single digits.  Why then would any unvaccinated staff need to be near any covid patients?",M
371,"Dr. Fauci was appointed to represent the US at the World Health Organization by the president MTG submitted a bill to impeach.

Not the banner strategy of a successful politician by an unsuccessful politician. https://t.co/Wzv0IvFZUn",G
372,"Irresponsible journalism from @abcnews .  I’ve never seen them run stories on unvaccinated people being admitted to hospital with blood clots.  A clinical trial involving 32,000 people found no evidence that the AZ vaccine causes blood clotting.",R
373,"@WhimsyQuest @cvpayne The demonic Georgia guidestones ""Leave room for Nature"" and depopulation.",G
374,"Gardasil has aluminum, just ask the injured? https://t.co/dFfb72YBae",R
375,@Lukewearechange These will be the places that don’t accept unvaccinated .,M
376,"@JaneLockePA Ugh.  I will cave and go to someone unvaccinated before i cut my hair one more time.  But I am not giving up yet!   Yep, unless they do a vaccine passport, these are our next battles.",M
377,"Greene introduces legislation to prevent vaccine passports, discrimination against the unvaccinated | Just The News https://t.co/S6aZFcHeTZ",M
378,"Former Pfizer VP says experimental Covid-19 vaccines could be ""used for massive-scale depopulation""
https://t.co/sUH5VK8ELP @LBilderberg @VFreedoms @DickPower369",G
379,"Crystal clear information..
46 people died in Israel they were two dose covid victims. https://t.co/fqE6uCkogX",R
380,@cmsorrps4610 Agreed. This is spiritual abuse. They're treating unvaccinated people like lepers.,M
381,"They want you to carry proof that you've been vaxxed against covid

Covid is not the only disease that can kill you

Take your time",M
382,"Have You Been Spreading Our ""Vaccines Aren't Vegetarian"" Flyer?

Get yours today: https://t.co/Vfo63hau69

To check out all of our materials, click here: https://t.co/qGEHGvSAG4

#LearnTheRisk #KnowledgeIsPower #ResearchDontRegret https://t.co/0PQRc8Szzx",R
383,"Makes you wonder how people think this idiot has Eritrea’s best interest or even has grasp of the role demographics play in the economy when he dismisses depopulation as completely inconsequential.
Take a listen.👇🏽
https://t.co/7XsbNDYHmg",G
384,"How dare our Nazi UK government take away our freedom by manipulating us into having an experimental vaccine. I’m not against vaccines, but creating a two tier apartheid society of vaccinated and unvaccinated is absolutely disgusting. No way should people put with with this crap.",M
385,@MarketWatch Do you think? It's all about  depopulation. Do you think we're blind? The sheep got the jab. The rest of us are the THREAT to the DEEP STATE.  Your punishment is quickly coming. #GodWins #HappyEaster2021,G
386,Extremely important for Ontario and probably Canadian residents- time to fight back #COVID19 #NoVaccine #NoVaccinePassports https://t.co/CA4IOoIfBC,M
387,"@DrJekyllHJ7 @DrLeanaWen There are none more selfish than those pushing a vaccine passport insisting Pharma/State own others’ bodies because it makes them feel safe. Unvaccinated don’t need toxic vaccines to stay healthy, can’t spread what they don’t have, &amp; as always can stay home when (rarely) sick",M
388,"@JCapitalCompany @PeterRapenske @KyleKashuv It's not a blanket ""cure-all"" that the vaxxed are partying about.",R
389,"@mutahikagwe_cs 
@DrPatrickAmoth @DrMercyHealth @StateHouseKenya @CG_KRA @KRACare 

Is this part of the depopulation agenda? https://t.co/1bZUcaIOOf",G
390,@Libnex2 Depopulation has to be a major factor as well.,G
391,"In 2009 Bill Gates held a secret meeting with a group of billionaires called ""The Good Club."" He was able to get them to sign on to the ""Giving Pledge"" so they could work in ""Lock Step"" towards a ""Great Reset"" which is how they will ""Build Back Better."" 

The goal?

Depopulation. https://t.co/AmJPHcwL0C",G
392,@RepMTG @NFL @NBA @MLB #communism 🛑 Stop Medical Dictatorship 🇺🇸@TuckerCarlson @MariahCarey @pitbull @KimKardashian @rihanna @BernieSanders #HealthFreedom The politicization of science 🧪 #BigPharma 💰💰#MyBodyMyChoice @TpT_Official @khloekardashian @garthbrooks,M
393,"@robbystarbuck @TXJBJana The #MyBodyMyChoice @DNC was Liars To The Core. They don't give a s**t about it. Its about #ControllingYourBody.

As much as Republicans try &amp; do the same for that one procedure, at LEAST THEY HAVE BEEN HONEST ABOUT IT.

Now Dems want to force jab an experimental mRNA Jab In Arms",M
394,"{aJSD}: The liniment-scented #MarginallyTailoredGene

Marjorie Taylor Greene Proposes Making Fauci’s Salary $0 And Requiring Businesses To Serve The Unvaccinated via @forbes https://t.co/01rmY1rl8H",M
395,@ScottAdamsSays .... there are still people who think there is no core group working on bringing in depopulation etc etc. https://t.co/Y3VEXdR21w,G
396,"Up to today, 97 milli  have taken 1outof 2 doses of the vaxing. 54 milli are fully vaxxed. Over 30 milli have had covid. Now let's just say 10 milli asymptomatic or that didn't report they had it. Thats roughly half the population. Why such the push for people to take it?",G
397,Don't have a choice? Of course I do. If women can choose to murder a distinct life form with a separate DNA inside a placenta within their body than I can say no to a relatively untested vaccine. @POTUS @JoeBiden @WhiteHouse @PressSec @CDCgov @NIH #MyBodyMyChoice #LiveFreeOrDie https://t.co/rOfJScN4qg,R
398,@WBrettWilson Natural immunity is just as good. Just reopen and let the unvaccinated worry about themselves,M
399,"@Jord_45 Nope. #InformedConsent Families with a genetic history of auto-immune disorders w/relation to vaccines should be cautious. For us, no vaccine. No passport.",M
400,"@Libnex2 Almost all of the rightward trend in the MS delta is just because of depopulation. blacks are leaving at a higher rate than whites. the white people there have always been super Republican, at least since the 60s",G
401,Fight for #InformedConsent prior to vaccines https://t.co/rxdTOytgst,M
402,"Medical Tyranny.

There's no evidence that a vaccinated individual is healthier than an unvaccinated individual.

This is the public health that has been running the country using the CCP playbook.

https://t.co/T6nEJk7isy",M
403,"Spot on forecast, sadly.

 I predict the separation between the two sides (vaxxed/unvaxxed) will quickly progress, almost at warp speed, and the true ‘othering’ of the minority population will begin in earnest in 2022-23.  Childhood vaxx approved mid-summer ‘21, in time for fall. https://t.co/sPjautZeUz",M
404,@LuvAmerica2016 @AF632 Of course the Pfizer vaccine was facilitated by Trump. Guess you’ll be unvaccinated or maybe you trust China’s vaccine.,G
405,Flagged by Twitter for being misleading. Twitter says y’all should be vaxxed. Twitter won’t pay if your vax goes south. Neither will any Big Pharma company. https://t.co/pmAx75BIoR,M
406,Unvaccinated vs vaccinated: they will both still transmit the virus but the freedom of movement of the first will be restricted. What is the medical explanation for that? There is none. It's a clearly political decision -not scientific- in order to facilitate coercion.,M
407,"@N33Ama I refused being tested before a procedure, because the test are tainted. I will not get an injection for a virus that is 99.9% survivable. There’s no reason for anyone getting that injection. Only reason given is for control, and for depopulation. Who knows what’s in injection.",G
408,#DrFauci the henchman of #BillGatesBioTerrorist helped #research aka #create these in his 40 years &gt;every election a new Disease!! #Covid20 #Covid21 #Covid22 coming from #M16 Lab in the Fall as the virus degenerates at 47.7 FH&gt;#SunYatSenUniversity #MSM #MasksareFraud https://t.co/Pcib8rExYP https://t.co/Wnf1KKxn5Q,G
409,"@briebriejoy I remember reading about ""predictive programming"" in my tinfoil hat days. Always interesting to see a theme like overpopulation/depopulation permeate pop culture through that lens. Particularly during a global crisis that's seen so many governments behaving super sketchy.",G
410,"You already know Bill's controversial stance on depopulation and his family background.

Gates Sr. was the head of Planned Parenthood etc. 
https://t.co/8Ck1bnBO8P",G
411,"Talking Out of Both Ends of Their Mouths And Their A**es.

@TheDemocrats - The FORMER PARTY of #MyBodyMyChoice https://t.co/tEsEwSR16z",M
412,"You know how humans were NOT pro-creating during the pandemic? Is that euphoria of getting double vaxxed going to be a game changer for like, an incredible record of new births in 2022 or not so much?",G
413,@PoliticsForAlI Wake up people. Vaccinated or unvaccinated. We must oppose the vaccine passports. Freedom and normality doesn't come with their introduction.,M
414,"@cpbyrne @tjschu @00RedBoar @IrexitFreedom @fionamflanagan1 @FatEmperor @TraceyOMahony81 @BenGilroy11 @DFallamhain @FreedomPundit1 @HealthFreedomIE @HSELive @GraceAnne_kelly @DeptJusticeIRL Mostly likely something to weaken your immune system, so you are less resistant to disease and can easily die! In one word: depopulation!",R
415,THE SHOCKING TRUTH ABOUT 5G AND EMF https://t.co/t0UCwV4Qhz via @BitChute The globalist plan is to blanket the earth with EMF radiation. Depopulation is part of Agenda 2030. So is the increased cancer rate. There's a lot of money to be made thru our suffering. This is real.,G
416,"@rayne2506 @booklady2002 @henrymcmaster It's not the HIPAA violation that matters, it is the DISCRIMINATION based upon my medical condition! (UNVACCINATED)
Vaccination Passports are a violation of the ADA and the Constitution of the USA. You cannot remove my ability to travel or seek enjoyment of freedom.",M
417,"@KJTorrance If they can get the virus, they can spread it... give me a break!  #NoVaccine",R
418,"Everyone; Vaxxed or Unvaxxed whatever your choice, should reject any form of Vacccine Passport. This will be the beginning of the end of freedom as we know it. Chained to a system, of THIER making, with no escape. No one wins, EVERYONE will lose! See the bigger picture!!",M
419,"@samasjapi I'm never being 'vaxxed' never carrying papers to satisfy psychopaths who'll always want just one more vax, because I'm free and that still means something to me anyway.  I'm not someone else's property  https://t.co/fYLqtahs23",M
420,@nytimes if this is true (and who really knows anymore?) the notion of a vaccine card for travel is ridiculous- since EVERYONE (vaxxed or not) can spread it?! #getittogether,M
421,I'm not getting the covid vaccine until I see more scientific proof that there are No longer-term effects from each of these drug companies.  #NoVaccinePassports #mybodymychoice,R
422,"@alexdonline @normanswan And by the time any change is made we'll be on to a different vaccine anyway, as we'll likely need a booster to account for variants. I prefer not to remain unvaccinated in the meantime.",M
423,@Starsky537ONN @reallygraceful His Father actually headed Planned Parenthood. A huge proponent of Eugenics or Depopulation. Bill is simply following in his Dad's footsteps.,G
424,"@RickedySplit @CountDankulaTV Man, I wonder why these people don't want unvaccinated people to interact with the general populace as much as those who are vaccinated during a pandemic. They really just hate freedom, no other reasoning behind it",M
425,noooo don’t go out and enjoy your freedoms aha ur so unvaccinated ;) https://t.co/DCXL2LNoTW,M
426,"@packetsniffer99 @thetruebluechef K, 1st of all how on 🌎 does pHARMa establish this absurd claim? 2nd, they ALWAYS say that when someone gets the condition they were JUST vaxxed for! How bout not giving patients the illness?!? Not plausible they “got it a week too late”; the timing excuse is worthless w/SO MANY!",G
427,@OttawaPolitico Vaccines “have been” mostly safe. doesn’t mean these ones are/aren’t. Vax injury and death occurs and therefor it should be a personal choice. An effective vaccine would prevent the vaccinated from getting sick by the unvaccinated and wouldn’t need coercion or societal exclusion,M
428,@GovMikeDeWine Or for depopulation,G
429,"My entire family is getting vaccinated. 

Question:

I get a vaccine, I can still transmit COVID to YOU. 

So, how is my proof of having a vaccine (#VaccinePassport) going to protect unvaccinated people I come in contact with on my travels?",M
430,This one is missing context I’m sure. Even though there’s video of the fucking serial killer saying it. #fuckbillgates #BillGatesBioTerrorist #BillGates https://t.co/Ql60pEpZMU,G
431,Gym Declines Vaxxed Clients Due To Insurance Liability! Life Insurance Not Paying Out For Anyone Taking The Experimental Covid 19 Lethal Injection That Has Not Yet Been Approved By The FDA! Quarantime Time Reduced For NHL Players   https://t.co/H9DI0A0sOg via @shareaholic,M
432,"Stanley Kubrick’s daughter, filmmaker @ViKu1111, called transhumanists &amp; myself out last week. Please note I have never heard transhumanists supporting depopulation. Quite the opposite. We want to maximize humanity &amp; spread across the universe in whatever forms we become. https://t.co/aBRINy4MHn",G
433,@jonathan_kramer @LPNational Doesn’t the immunization provide protection from everyone else?  The vaxxed and the un-vaxxed? If not then what good is the vax?  If you don’t trust the vax then what good is a passport? The un-vaxxed are only a risk to each other.  See the passport is illogical.,M
434,"Maybe #VaccinesWork , maybe #VaccinesSaveLives , but #IDoNotConsent #mandatory #vaccination 

https://t.co/Rsd4gITlda

#vaccine
@TulsiGabbard @BernieSanders @AndrewYang @RobertKennedyJr @TuckerCarlson @joerogan @SharylAttkisson @RonPaul @RonPaulInstitut @americaslawyer https://t.co/OwptZ7ebPh",M
435,@jonathan_kramer @LPNational So the vax is ineffective both at protection “to you” &amp;  “from you” for your liking? Then passport is meaningless Cuz everybody is a threat &amp;  large close unmasked gatherings of even only vaxxed people is just as if not more risky than masking &amp; distancing. So where’s the logic?,M
436,"Vaccination of Fear, Depopulation? – Economic Update Join Greg Hunter of https://t.co/YRTHmPMFk3 as he talks about these stories and more in the Weekly News Wrap-Up for 4.2.2021.  https://t.co/mnPHRzX0ie",G
437,"They're not even trying to hide this shit anymore!

 ""Otherwise [unvaccinated] people are going to go out and enjoy these freedoms anyway""

 Yes, yes I am. Because that's what freedom is dummy. https://t.co/AeZvEApK7w",M
438,"You’ve all been shoving “my body my choice” down everyone’s throat ad nauseam but when I say I’m not getting vaxxed...hoooboy, it is for sure NOT an applicable philosophy. Make up your mind or mind your own business.",M
439,"Did you know that zinc is important in combating viral infections?

https://t.co/HIRDCN6AkO

Sign up to our newsletter: https://t.co/kFSB8GJRh8

#Physicians4InformedConsent #1stDoNoHarm #Vaccines #Vaccination #InformedConsent #Science #Statistics https://t.co/wljhGH6gtP",M
440,"@mubazieric @POTUS Well if you consider costing 3.5 Americans their jobs, allowing unmasked unvaccinated of illegals by the tens of thousands to cross the border and making us energy dependent on foreign Nations again accomplishments then congrats dumbass.",G
441,"@jonnyhodl Right, so I'm never being 'vaxxed' never carrying papers to satisfy psychopaths who'll always want just one more vax, because I'm free and that still means something to me anyway.  I'm not someone else's property  https://t.co/fYLqtahs23",M
442,"@Lyndonx @MaryCam17021316 Maybe, just maybe the dominoes are about to fall, Italian female member of parliament as called out Gates on depopulation plot.",G
443,@CNN Depopulation. Virus and solution.,G
444,"#VaccinesKill
I was admitted into hospital with sepsis, 2 separate doctors asked me if I'd had the #CovidVaccine when I said no, they both said, that can't be the cause of the infection? 

Ask yourself why would I be asked that? 
Bc  it is a trial. It is lethel.
Do NOT consent.",R
445,"Maybe balkinization will happen after all. 

Except it'll be split between vaccinated(""tagged"") and unvaccinated(""untagged"").",M
446,"@myBurbankNEWS the posts on here are just sad... wait till they come for you. you guys have been brainwashed to believe the bullshit the government is telling you. get vaxxed, wear your masks,  stand 6 feet apart.  
perhaps a history lesson from Yuri Bezmenov 
https://t.co/XQq8ij9twI",G
447,"@MonicaGandhi9 A question: does the presence of vaccinated people among unvaccinated reduce transmission? The vaxx people inhale and destroy airborne virus. Very rarely, the vaxx people get sick and emit virus. If the net effect is less virus in transmissible context, then it benefits unvaxxed.",R
448,Should businesses be allowed to deny service to unvaccinated customers?,M
449,"So governments will use lockdowns as a means to incentivise people to get the vaxx &amp; then once a significant portion have been vaxxed they will then implement a vaxx passport system to incentivise the remaining non-vaxxinated.

Voilá - digital ID for all in a cashless society.",G
450,"Vaccination of Fear, Depopulation? – Economic Update | Greg Hunter’s USAWatchdog https://t.co/uEneXOkEsx via @usawatchdog",G
451,@W_T_Tanker @7LegionsBeacon @Lukewearechange It basically is going to make these companies compliant for the agenda which eventually it will be unvaccinated people are not allowed without their Covid passport,M
452,@EarthshotPrize When will you mention your depopulation agenda? 🙃,G
453,@JordanUhl @Chrishayse2 @JoeBiden Mal`ourished...or Vaxxed???,R
454,"Vaccine passports are being seen by some in gvt as a “nudge” tool - to incentivise the young to take the jab.

But a strategy of making life more difficult for the unvaccinated raises ethical issues - especially given big racial disparities. My column:- https://t.co/5LfxRnYXxw",M
455,"Vaccination of Fear, Depopulation? - Economic Update https://t.co/4oASCeujHu",G
456,"YEADON - ""Entirely possible this will be used for massive-scale depopulation"" https://t.co/Lj8ZD6Fl6Y",G
457,"@aroberts3016 Yep. Leave it a “Made In Not-America” product to allow the truth to leak out.
Reading a lot about masks causing fungi which, according to Dr Mikovits, play a part in activating XMRVs already latent in the nasal passages amongst those formerly vaxxed.
I’m sure Fauci counts on it.",G
458,"All this talk of making the unvaccinated social outcast. How about we have our own reset and downgrade All the vaccinated and lockdown fanatics 
Because l really don't want to be sat near one when we win this shitshow #TakeOffYourMask https://t.co/uwqdP57WsE",M
459,"@mskochin @DrLeanaWen Vera Sharav an educator &amp; survivor of the Holocaust thinks history is set to repeat.
The coming medical apartheid will ostracize those they deem the unvaccinated pariahs. Don't let this happen, speak out, write the Corporations, politicians, schools.
https://t.co/YzQ7e2tREE",G
460,"@mskochin @DrLeanaWen Vera Sharav an educator &amp; survivor of the Holocaust thinks history is set to repeat.
The coming medical apartheid will ostracize those they deem the unvaccinated pariahs. Don't let this happen, speak out, write the Corporations, politicians, schools.
https://t.co/YzQ7e2tREE",M
461,"@Tamzilla_52 They’re all vaxxed so why are they all spaced and masked. That’s right, for the propaganda.",G
462,"Did you know that a 2nd vaccine dose might switch-off the immune response due to antigen exhaustion in ex-#COVID19 patients?
https://t.co/QrbteYIYsX
 
Sign up: https://t.co/kFSB8GJRh8

#coronavirus #COVID_19 #PublicHealth #1stDoNoHarm #Vaccines #Vaccination #InformedConsent https://t.co/m7S1MKJeyc",R
463,@Lukewearechange Satanic New World Order bullshit .. independent companies sign up for this symbol to be on their door as long as they promise to not serve unvaccinated people without their vaccination pass guaranteed,G
464,@Lukewearechange Satanic New World Order bullshit .. independent companies sign up for this symbol to be on their door as long as they promise to not serve unvaccinated people without their vaccination pass guaranteed,M
465,"@Stanleedia @BigBrotherWatch It's the linking of vaccination status with health status that jars with me. The unvaccinated may well be the healthier group, we just won't have complied. It's our compliance that's being demanded, not our health. 
Just quibbling, I guess ...",M
466,@normanswan I’ve never seen the ABC publish an article on an unvaccinated person being admitted to hospital with blood clots.  To be balanced and accurate they need to publish one right away.,R
467,@KyleBumpus @NuNuCypher @JohmBoi @AIexander01 @PeterRapenske @KyleKashuv The vaccine does not stop spread... the vaccine is 100% for your own protection not others so if you dont feel you need that protection then don't worry about it. If you are vaxxed you have protected yourself,M
468,@MarkusOlofsson2 @GArlington1966 The vaccine increased covid cases in Israel 800% compared to the unvaccinated population. The states in the US with higher vaccination rates have case spikes. Your premise is strawman fantasy,R
469,"@erinhaust It is utterly rubbish that variants mutates from those unvaccinated. Vaccinated or not, virus will mutate. Those who vaccinated are the carriers of the virus and they are the infectious ones, so play afar from vaccinated people. They are the spreaders of the virus.",R
470,@ReedCoverdale @ComicDaveSmith @LibertyLockPod @DavidFite @WillFiteForYou @carey_wedler @Stacie4Truth @RealSpikeCohen How long until they suggest camps and prison for unvaccinated people? A week or a month?,G
471,"The CDC did find an MMR-autism link in a 2001 study, but ordered their scientists to destroy the data. Dr. William Thompson turned whistleblower and handed over his original copies of the study to congress. https://t.co/b0ctALYU1b",R
472,@GovernmentVaxed The depopulation officially has began,G
473,"Yes, all of this ✊🏼 #FireFauci #WeWillNotComply https://t.co/SYkEkYmbjZ",G
474,@Iamanob76241101 @CharJackson82 Unvaccinated lives MATTER.,M
475,@ianmSC I sense that the end is nigh even in Los Angeles. I can’t tell you how many doomers I know here who’ve gotten vaxxed and immediately thew away their face masks and started coughing all over me. I say bring it on. It’s the first real sign of hope I’ve seen in a long time.,G
476,@AstorAaron @NateSilver538 This all just seems like kabuki theater over when to relax recommendations for vaccinated people to maintain compliance among unvaccinated people,M
477,"Why is it all the unvaccinated know about the safety and efficiency of the vaccines, and the vaccinated haven’t a clue.  

😎",M
478,@RaceEastern @sergyrose @StateDept @SecBlinken They want war in Nigeria so we can start killing ourselves again just like in 1967!! It's all part of their depopulation agander..,G
479,"This has to be challeged 
Big pharma does not claim this for the jab.
It is a  monster lie by an unelected political scientist designed to lead to vaccination passports.
The country sleeps on. https://t.co/jM0TaTtszV",G
